Company,Executive,Title,Since,Education,Notes,Updated
eBay,John Donahoe,President and CEO[53],2008,"Dartmouth College, Stanford Graduate School of Business",,1/18/2015
Electronic Arts,Andrew Wilson,CEO[54],2013,,,1/18/2015
Ericsson,Hans Vestberg,President and CEO[55],2010,Uppsala University,Chairman of the Swedish Handball Association,1/18/2015
Exxon Mobil,Rex Tillerson,Chairman and CEO[56],2006,University of Texas at Austin,,1/18/2015
Facebook,Mark Zuckerberg,Chairman and CEO,2004,"Ardsley High School, Phillips Exeter Academy, Harvard University",Co-founded Facebook in 2004.,1/18/2015
FedEx,Frederick W. Smith,"Chairman, president and CEO[57]",1971,Yale University,,1/31/2015
Fiat S.p.A.,Sergio Marchionne,,,,,
Fidelity Investments,Abigail Johnson,,,,,
Ford Motor Company,Alan Mulally,,,,,
Foxconn Electronics Inc,Terry Gou,,,,,
FUBU,Daymond John,,,,,
Formula One Management,Bernie Ecclestone,,,,,
General Dynamics,Nicholas Chabraja,,,,,
General Electric,Jeffrey R. Immelt,,,,,
General Motors,Mary T. Barra,CEO,2014,,,
Gerdau,André Bier Gerdau Johannpeter,CEO,2007,"Pontifícia Universidade Católica do Rio Grande do Sul, University of Toronto, 
Ashridge Business School and Wharton School.",,
GfK AG,Klaus L. Wübbenhorst,,,,,
GlaxoSmithKline,Andrew Witty,,,,,
Goldman Sachs,Lloyd Blankfein,,,,,
Google,Larry Page,,,,,
GMA Network,Felipe Gozon,,,,,
GMR Group,Grandhi Mallikarjuna Rao,Founder and CEO,,,,
GVK Group,Gunupati Venkata Krishna Reddy,Founder and CEO,,,,
Haas Outdoors,Toxey Haas,Founder and CEO,1986,Mississippi State University,Parent company of Mossy Oak,
Halliburton,David J. Lesar,,,,,
Harley Davidson,James Ziemer,,,,,
Harvard Pilgrim Health Care,,,,,,
HCL Technologies,Anant Gupta,,,,,
Henderson Land Development Co. Ltd.,Lee Shau Kee,Chairman and Managing Director[58],1976[59],,,9/30/2013
Hewlett-Packard,Meg Whitman,President and CEO[60],2011,"Princeton University, Harvard Business School",Formerly with eBay,9/30/2013
Hindalco,Kumar Mangalam Birla,,,,,
Home Depot,Frank Blake,,,,,
Honeywell,David M. Cote,,,,,
HP Hood LLC,John A. Kaneb,,,,,
HSBC,Stuart Gulliver,,,,,
IBM,Virginia M. Rometty,,,,,
IGATE,Ashok Vemuri,CEO,,,,
IKEA,Mikael Ohlsson,,,,,
Inchcape plc,André Lacroix,,,,,
Infosys Technologies Limited,Vishal Sikka[61],,,,,
Intel,Brian Krzanich,CEO,2013,,Replaced Paul Otellini,
InterCall,Scott Etzler,President and CEO,1999,"Indiana University, Kellogg School of Management",Also serves on the board of Steppenwolf Theater Company[62],
ITC Limited,Y C Deveshwar,CEO and Chairman of the Board[63],1996,,Has been with the company since 1968.,
J.Crew,Millard Drexler,CEO,2003,,"Former CEO of The Gap, also director at Apple Inc.",
Jefferies & Company,Richard B. Handler,"Chairman, CEO, and President",2001,"BA Economics University of Rochester, MBA Stanford University",Longest tenured CEO of a major Wall Street Firm,
JP Morgan Chase,James Dimon,CEO and Chairman,2004,,also on the board of the New York Federal Reserve,
Juniper Networks,Kevin Johnson,CEO,2008,,formerly of Microsoft,
"Kaplan, Inc.",Andrew Rosen,,,,,
Kingdom Holding Company,Al-Waleed bin Talal,,,,,
Koch Industries Inc.,Charles G. Koch,,,,,
Land Securities,Robert Noel,CEO,2012,Reading University,,
Lanco Infratech,Madhusudhan Rao Lagadapati,CEO,,Wayne State University,,
Las Vegas Sands,Sheldon Adelson,,,,,
Lehman Brothers,"Richard S. (Dick) Fuld, Jr.",,,,,
L.L. Bean,Christopher McCormick,,,,,
Larsen & Toubro Limited,A M Naik,,,,,
Lockheed Martin,Marillyn Hewson,,,,,
"Macy's, Inc.",Terry J. Lundgren,,,,,
Manchester United,David Gill,,,,,
Marks and Spencer,Stuart Rose,,,,,
McDonald's,Don Thompson,,,,,
McKinsey,Dominic Barton,Managing Director[64],2009[65],"University of British Columbia, Brasenose College, Oxford",Succeeded Ian Davis,8/4/2014
Mercedes-Benz,Dieter Zetsche,,,,,
Merrill Lynch,John Thain,,,,,
Mesa Air Group,Jonathan Ornstein,,,,,
MetLife,C. Robert Henrikson,,,,,
MGA Entertainment,Isaac Larian,,,,,
Microsoft,Satya Nadella,CEO,2/4/2014,"Manipal University, Hyderabad Public School, University of 
Wisconsin–Milwaukee, University of Chicago Graduate School of Business",was executive vice president of Microsoft’s Cloud and Enterprise group[66],9/12/2014
Mile High Comics,Chuck Rozanski,,,,,
Mindtree,Krishnakumar Natarajan,CEO and Managing Director,,XLRI,Ex-Chairman of NASSCOM,2/4/2014
Morgan Stanley,James P. Gorman,,,,,
Motorola,Greg Brown,,,,,
Mozilla,Mitchell Baker,,,,,
MySQL AB,Marten Mickos,,,,,
MySpace,Chris DeWolfe,,,,,
Nation Media Group,Wilfred Kiboro,CEO,1993,,"Replaced by Linus Gitahi in 2006. Still serves as the chairman of the NMG 
and Wilfay Investments Ltd. boards and serves on the boards of Standard 
Chartered Kenya and EABL as a non-executive director.",
National Amusements,Sumner Redstone,,,,,
NBCUniversal,Jeff Zucker,,,,,
Newlog,Yochanan Vollach,,,,,
News Corporation,Keith Rupert Murdoch,,,,,
New York Times Company,Janet L. Robinson,,,,,
NIIT,Vijay K. Thadani,,,,,
Nike,Mark Parker,,,Penn State University,,
Nissan,Carlos Ghosn,,,,,
Nokia,Rajeev Suri,CEO & President,2014,Manipal Institute of Technology,He was the CEO of Nokia Solutions and Networks earlier,4/29/2014
Nortel,Mike S. Zafirovski,,,,,
Novartis,Daniel Vasella,,,,,
Nintendo,Satoru Iwata,,,,,
Office Depot,Steve Odland,,,,,
Oxford Sustainable Group,Hadley Barrett,,,,,
Oracle Corporation,Larry Ellison,,,,,
Orascom Telecom Holding,Naguib Sawiris,,,,,
Outback Steakhouse,Chris T. Sullivan,,,,,
PepsiCo,Indra Nooyi,,,,,
Pfizer,Henry McKinnell,,,,,
Pizza Hut,David C. Novak,,,,,
Playboy Enterprises,Christie Hefner,,,,,
Polo Ralph Lauren,Ralph Lauren,,,,,
"Popular, Inc.",Richard Carrión,,,,,
"Prudential Financial, Inc.",John Strangfeld,,,,,
Qantas Airways Limited,Alan Joyce,,,,,
Qwest Communications International,Richard Notebaert,,,,,
Reliance Anil Dhirubhai Ambani Group,Anil Ambani,Chairman[67],1983,"University of Mumbai, University of Pennsylvania",,9/14/2013
Reliance Industries Limited,Mukesh Ambani,,,,,
Renault,Carlos Ghosn,,,,,
Rite Aid Corporation,Mary Sammons,,,,,
Rocawear,Jay-Z,,,,,
Royal Ahold N.V.,John Rishton,,,,,
Royal Bank of Canada,Gordon Nixon,,,Queen's University,,
Royal Bank of Scotland,Ross McEwan,,,,,
Royal Dutch Shell,Ben van Beurden,,,,,
Ryanair,Michael O'Leary,,,,,
S. C. Johnson & Son,Herbert Fisk Johnson III,,,,,
SAAB Automobile AB,Jan-Åke Jonsson,,,,,
SandRidge Energy,Tom L. Ward,Chairman and CEO,2006,University of Oklahoma,"former President, COO and co-founder of Chesapeake Energy",
Samsung,Kun-Hee Lee,,,,,
SAP AG,Bill McDermott,CEO,2010,"Dowling College, Northwestern University[68]",,
SAS Institute,James Goodnight,,,,,
Sbarro,James J. Greco,CEO and President,2012,"Georgetown University, University of Miami School of Law","Formerly with Le Duff America, Bruegger's, Fieldbrook Farms, and Natural 
Country Farms",
Scottrade,Rodger O. Riney,,,,,
Seagate Technology,Steve Luczo,,,,,
Siemens A.G.,Peter Löscher,President and CEO,2007,"Vienna University of Economics and Business Administration, Chinese 
University of Hong Kong, Harvard University, Michigan State University",Formerly with General Electric and Merck,
Simon Property Group,David Simon,,,,,
SingTel,Chua Sock Koong,,,,,
Sirius Satellite Radio,Mel Karmazin,,,,,
Sleep Country Canada,Stephen K. Gunn,,,,,
SoftBank,Masayoshi Son,,,,,
Southwest Airlines,Gary C. Kelly,,,,,
Sonic Corporation,J. Clifford Hudson,Chairman and CEO,,,,
Sony Corporation,Kazuo Hirai,President and CEO,2012,,,
Sony Computer Entertainment,Andrew House,President and CEO,2011,,,
Starbucks Coffee Company,Howard Schultz,,,,,
Statoil,Helge Lund,,,,,
Sun Hung Kai Properties Ltd.,Walter Kwok,,,,,
Sun Microsystems,Jonathan I. Schwartz,,,,,
Sun Pharmaceutical,Dilip Shanghvi,Founder and CEO,,,,
SunTrust Banks Inc.,"James M. Wells, III",,,,,
Supervalu Inc.,Jeff Noddle,,,,,
Sulekha,Satya Prabhakar,,,,,
Swedbank,Jan Lidén,,,,,
Syntel Inc.,Bharat Desai,,,,,
Target Corporation,Gregg Steinhafel,"Chairman, President, and CEO",2008,,,
Tata Consultancy Services,N Chandrasekaran,,,,,
Tata Steel,B Muthuraman,,,,,
Telefónica,César Alierta,CEO and Chairman,2000,Columbia University,,
Telmex,Carlos Slim Helú,,,,,
Telstra,David Thodey,,,,,
Temasek Holdings,Ho Ching,,,,,
Tesco,Philip Clarke,,,,,
Tim Hortons,Paul D. House,,,,,
Time Warner,Jeffrey L. Bewkes,,,,,
Tod's,Diego Della Valle,Managing Director,1970,University of Bologna,,
"TJX Companies, Inc.",Carol Meyrowitz,,,,,
Tracinda Corporation,"Kerkor ""Kirk"" Kerkorian",,,,,
"The Siegel Group Nevada, Inc",Stephen Siegel,,,,,
The Travelers Companies,Jay S. Fishman,,,,,
Trump Organization,Donald Trump,,,,,
Toyota,Hiroshi Okuda,,,,,
Toys for Bob,Paul Reiche III,,,,,
"Toys ""R"" Us",Gerald L. Storch,,,,,
Tradeking,Donato A. Montanaro,,,,,
"Turner Broadcasting System, Inc.",Philip I. Kent,,,,,
Twitter,Dick Costolo,CEO,,,,
UAL Corporation,Glenn F. Tilton,,,,,
UBS AG,Sergio Ermotti,,,,,
U.S. Century Bank,Octavio Hernández,,,,,
United Parcel Service,D. Scott Davis,,,,,
UGI Corp.,Lon R. Greenberg,,,,,
United States Steel Corp.,John P. Surma,,,,,
United Technologies,Louis R. Chênevert,,,,,
Valero Energy Corporation,William R. Klesse,,,,,
Verizon Communications,Lowell McAdam,Chairman and CEO,2011,"Cornell University, University of San Diego",Former CEO of Verizon Wireless,
Viacom,Philippe P. Dauman,,,,,
Viking Range,"Fred Carl, Jr.",,,,,
Vodafone,Vittorio Colao,,,,,
Volkswagen,Martin Winterkorn,,,,,
Vulcan Inc.,Paul Allen,,,,,
The Walt Disney Company,Robert Iger,Chairman and CEO,,,,
Walgreen Company,Gregory Wasson,,,,,
Wal-Mart,Mike Duke,,,,,
Warner Bros.,Barry Meyer,,,,,
Washington Mutual,Kerry Killinger,,,,,
The Washington Post Company,Donald Graham,,,,,
Wells Fargo,John Stumpf,"Chairman, President, and CEO",,,,
Whole Foods Market,John Mackey,,,,,
Williams-Sonoma,Laura J. Alber,"Director, President, and CEO[69]",2010,University of Pennsylvania,replaced W. Howard Lester,
Windstream Corporation,Jeffery Gardner,,,,,
Winn-Dixie,Peter Lynch,,,,,
Wipro Technologies Limited,T K Kurien,,,,,
World Wrestling Entertainment,Vincent K. McMahon,"Founder, Chairman and CEO[70]","1980 Chairman
2009 CEO",East Carolina University,Chairman of the Executive Committee,
Yahoo!,Marissa Mayer,CEO,2012,Stanford university,Former spokesperson at Google,
YG Entertainment,Yang Hyun Suk,Founder and CEO,1996,,,9/30/2013
"Yum! Brands, Inc.",David C. Novak,Chairman and CEO,2001[71],University of Missouri,Formerly COO for Pepsi-Cola.,9/30/2013
